,Unnamed: 0,base_new,base_lat,transl,POS
0,10311,өчэӈкэ,ɵčeŋke,преследующий,adj
1,9870,өгэг,ɵgeg,верхний,adj
2,9888,өидмэр,ɵidmer,выше,adj
3,9889,өидмэрэ̄ч,ɵidmereč,выше,adj
4,9886,өиг,ɵig,верхний.поверх.чего.либо,adj
5,9887,өиг,ɵig,верхний,adj
6,9910,өк,ɵk,горячий,adj
7,9913,өк-э-н,ɵk-e-n,зной,adj
8,9914,өке,ɵk'e,жарко,adj
9,9929,өкчи,ɵkči,знойный,adj
10,9936,өкэк-е,ɵkek-je,жарко,adj
11,9941,өкэлукэлдывун,ɵkelukeldɨwun,нагревательный,adj
12,9924,өкси,ɵksi,горячий,adj
13,9967,ө̄лбэ,ɵlbe,рассеянный,adj
14,9979,өлинэ,ɵline,брезгливый.человек,adj
15,9977,өлинкэн,ɵlinken,береговой,adj
16,10077,өмчэри,ɵmčeri,нелюдимый,adj
17,10079,өмэки,ɵmeki,одинаковый,adj
18,10086,өмэн,ɵmen,гармонично,adj
19,10041,ө̄мне,ɵmn'e,неповоротливый,adj
20,10068,өмнэ̄т,ɵmnet,огромный,adj
21,10044,өмни,ɵmni,последний,adj
22,10131,ө̄нтэ,ɵnte,другой,adj
23,10140,ө̄нтэки,ɵnteki,диковинный,adj
24,10141,ө̄нтэки,ɵnteki,разный,adj
25,10144,ө̄нтэкич,ɵntekič,особым,adj
26,10142,ө̄нтэкитэӈ,ɵntekiteŋ,разный,adj
27,10154,ө̄нтэлтэтты,ɵnteltettɨ,изменчивый,adj
28,10138,ө̄нтэвӈи,ɵntewŋi,отличный,adj
29,10180,өӈэн,ɵŋen,огромный,adj
30,10237,өрэлдэри,ɵrelderi,довольный,adj
31,10238,ө̄рэм,ɵrem,глупый,adj
32,10250,өрэӈчири,ɵreŋčiri,восторженный,adj
33,10251,ө̄рэп,ɵrep,прежний,adj
34,10215,өрукэ̄тты,ɵrukettɨ,направительный,adj
35,10278,өсэӈкэ,ɵseŋke,больной,adj
36,10279,өсэри,ɵseri,беременная,adj
37,10257,ө̄си,ɵsi,древний,adj
38,10258,ө̄сиди,ɵsiďi,древний,adj
39,10260,ө̄синкэн,ɵsinken,старинный,adj
40,10261,ө̄сир,ɵsir,древний,adj
41,10262,ө̄сирэп,ɵsirep,древние,adj
42,10304,ө̄тэрэп,ɵterep,прежний,adj
43,10306,ө̄тэрэпэч,ɵterepeč,издавна,adj
44,10305,ө̄тэрэптук,ɵtereptuk,издавна,adj
45,12963,федеральнай,фjeďeralnaj,федеральный,adj
46,13029,целай,ц'elaj,целый,adj
47,13034,центра̄льнай,ц'entralnaj,центральный,adj
48,4,аба,aba,красивое,adj
49,7,абал,abal,дешевый,adj
50,19,абалаӈатан,abalaŋatan,наименьшее,adj
51,20,абалкан,abalkan,красивый,adj
52,22,абалту,abaltu,глупый,adj
53,46,абдумда,abdumda,вещевой,adj
54,34,абгар,abgar,здоровый,adj
55,50,а̄бука,abuka,подслеповатый,adj
56,51,а̄буня,abun'a,подслеповатый,adj
57,242,адам,adam,каменный.уголь,adj
58,247,а̄даня,adan'a,румяный,adj
59,288,адяня,aďan'a,румяный,adj
60,248,а̄даӈа,adaŋa,старый,adj
