,base_new,base_lat,transl,POS
10311,өчэӈкэ,өčeŋke,преследующий,adj
9870,өгэг,өgeg,верхний,adj
9888,өидмэр,өidmer,выше,adj
9889,өидмэрэ̄ч,өidmereč,выше,adj
9886,өиг,өig,верхний.поверх.чего.либо,adj
9887,өиг,өig,верхний,adj
9910,өк,өk,горячий,adj
9913,өк-э-н,өken,зной,adj
9914,өке,өk'e,жарко,adj
9929,өкчи,өkči,знойный,adj
9936,өкэк-е,өkekje,жарко,adj
9941,өкэлукэлдывун,өkelukeldɨwun,нагревательный,adj
9924,өкси,өksi,горячий,adj
9967,ө̄лбэ,өlbe,рассеянный,adj
9979,өлинэ,өline,брезгливый.человек,adj
9977,өлинкэн,өlinken,береговой,adj
10077,өмчэри,өmčeri,нелюдимый,adj
10079,өмэки,өmeki,одинаковый,adj
10086,өмэн,өmen,гармонично,adj
10041,ө̄мне,өmn'e,неповоротливый,adj
10068,өмнэ̄т,өmnet,огромный,adj
10044,өмни,өmni,последний,adj
10131,ө̄нтэ,өnte,другой,adj
10140,ө̄нтэки,өnteki,диковинный,adj
10141,ө̄нтэки,өnteki,разный,adj
10144,ө̄нтэкич,өntekič,особым,adj
10142,ө̄нтэкитэӈ,өntekiteŋ,разный,adj
10154,ө̄нтэлтэтты,өnteltettɨ,изменчивый,adj
10138,ө̄нтэвӈи,өntewŋi,отличный,adj
10180,өӈэн,өŋen,огромный,adj
10237,өрэлдэри,өrelderi,довольный,adj
10238,ө̄рэм,өrem,глупый,adj
10250,өрэӈчири,өreŋčiri,восторженный,adj
10251,ө̄рэп,өrep,прежний,adj
10215,өрукэ̄тты,өrukettɨ,направительный,adj
10278,өсэӈкэ,өseŋke,больной,adj
10279,өсэри,өseri,беременная,adj
10257,ө̄си,өsi,древний,adj
10258,ө̄сиди,өsiďi,древний,adj
10260,ө̄синкэн,өsinken,старинный,adj
10261,ө̄сир,өsir,древний,adj
10262,ө̄сирэп,өsirep,древние,adj
10304,ө̄тэрэп,өterep,прежний,adj
10306,ө̄тэрэпэч,өterepeč,издавна,adj
10305,ө̄тэрэптук,өtereptuk,издавна,adj
12963,федеральнай,fjeďeralnaj,федеральный,adj
13029,целай,c'elaj,целый,adj
13034,центра̄льнай,c'entralnaj,центральный,adj
4,аба,aba,красивое,adj
7,абал,abal,дешевый,adj
19,абалаӈатан,abalaŋatan,наименьшее,adj
20,абалкан,abalkan,красивый,adj
22,абалту,abaltu,глупый,adj
46,абдумда,abdumda,вещевой,adj
34,абгар,abgar,здоровый,adj
50,а̄бука,abuka,подслеповатый,adj
51,а̄буня,abun'a,подслеповатый,adj
242,адам,adam,каменный.уголь,adj
247,а̄даня,adan'a,румяный,adj
288,адяня,aďan'a,румяный,adj
248,а̄даӈа,adaŋa,старый,adj
252,адарилкан,adarilkan,стыдливый,adj
255,адарита,adarita,стыдливый,adj
271,адыкун,adɨkun,малочисленный,adj
264,адӈия,adŋija,непрочный,adj
267,а̄ду,adu,одинокий,adj
225,агъиӈчири,agiŋčiri,заботливый,adj
191,агдаг,agdag,старший,adj
199,агды,agdɨ,пораженный.молнией,adj
200,агды,agdɨ,старый,adj
203,агдымрин,agdɨmrin,пожилой,adj
205,агдыӈатан,agdɨŋatan,старейший,adj
209,агдысука̄н,agdɨsukan,пожилой,adj
211,агитационнай,agitacionnaj,агитационный,adj
219,агрессивнай,agr'essiwnaj,агрессивный,adj
218,агра,agra,шумно,adj
